pages_visited,time_spent,scroll_depth,category_match,intent_score,comparison_count,product_views,intent_velocity,reread_score,engagement_depth,hover_rate,max_scroll_depth,category_affinity_strength,clicked
14,172,1.0,0,0.59,5,3,-0.057,0.21,0.72,7.16,1.0,0.2,1
9,528,0.14,0,0.6,5,0,0.264,0.36,0.96,6.0,0.24,0.05,0
11,37,0.88,0,0.59,2,0,0.215,0.42,0.85,3.76,1.0,0.18,1
9,134,0.72,1,0.67,4,4,0.152,0.55,0.96,5.84,0.9,0.88,1
8,282,0.44,0,0.56,0,1,0.236,0.62,0.92,5.01,0.69,0.08,0
15,259,0.71,0,0.62,5,4,0.12,0.31,0.51,4.54,0.88,0.07,0
13,55,0.16,0,0.49,5,4,0.172,0.06,0.69,3.82,0.34,0.14,0
6,121,0.12,0,0.48,5,5,-0.075,0.83,0.54,6.17,0.14,0.08,0
11,133,0.15,1,0.44,2,2,0.14,0.38,0.01,0.2,0.32,0.7,1
10,261,0.22,0,0.55,3,3,0.173,0.27,0.9,6.89,0.31,0.09,1
7,273,0.2,0,0.55,2,2,0.069,0.36,0.76,2.72,0.45,0.09,0
4,201,0.79,0,0.43,0,3,-0.048,0.86,0.37,6.39,1.0,0.17,0
12,301,0.1,0,0.35,2,4,0.143,0.23,0.05,5.56,0.22,0.03,0
5,190,0.97,0,0.46,3,3,0.178,0.47,0.4,6.11,1.0,0.08,1
12,107,0.14,0,0.46,4,2,0.113,0.52,0.39,0.48,0.41,0.02,0
8,511,0.99,0,0.59,0,1,0.131,0.88,0.36,7.45,1.0,0.09,0
5,173,0.66,0,0.39,1,5,-0.056,0.16,0.2,2.01,0.79,0.07,0
12,400,0.87,0,0.51,3,4,0.04,0.82,0.17,7.87,1.0,0.06,0
13,243,0.53,1,0.57,2,2,-0.081,0.68,0.43,2.44,0.79,0.76,1
4,83,0.16,0,0.47,1,3,0.014,0.54,0.77,5.85,0.44,0.19,0
8,453,0.91,0,0.61,1,1,0.166,0.65,0.68,1.33,1.0,0.04,0
11,178,0.83,0,0.6,2,5,-0.095,0.54,0.8,0.54,1.0,0.17,0
4,38,0.42,0,0.36,1,2,0.188,0.5,0.14,4.99,0.72,0.17,1
14,111,0.54,0,0.55,3,3,0.09,0.29,0.91,6.74,0.75,0.06,0
6,272,0.3,0,0.58,4,1,0.228,0.88,0.69,3.8,0.32,0.09,1
11,333,0.28,0,0.55,1,4,0.083,0.5,0.66,6.99,0.46,0.16,0
10,545,0.54,0,0.63,5,4,-0.076,0.99,0.31,4.63,0.59,0.02,0
5,390,0.27,1,0.7,5,4,0.116,0.96,0.71,1.4,0.51,0.88,1
3,538,0.27,0,0.51,0,1,0.29,0.99,0.66,4.0,0.44,0.19,0
9,532,0.93,1,0.64,4,1,-0.033,0.12,0.82,0.12,1.0,0.92,0
7,477,0.46,0,0.53,0,4,0.237,0.6,0.87,7.36,0.49,0.14,0
14,307,0.23,0,0.63,0,2,-0.075,0.72,0.9,2.31,0.35,0.05,0
13,53,0.8,0,0.47,4,5,-0.045,0.31,0.41,7.86,0.88,0.16,0
13,22,0.48,0,0.47,1,0,0.048,0.82,0.94,7.62,0.71,0.09,1
12,52,0.46,1,0.48,5,3,0.069,0.09,0.01,5.18,0.75,0.91,0
15,235,0.99,0,0.67,3,4,0.03,0.4,0.82,7.33,0.99,0.09,1
13,580,0.77,0,0.58,4,1,0.018,0.14,0.53,4.54,0.9,0.03,0
9,244,0.56,0,0.59,4,5,0.126,0.47,1.0,5.28,0.73,0.01,0
7,189,0.39,0,0.5,4,3,0.259,0.02,0.59,1.01,0.64,0.09,0
8,539,0.6,0,0.63,1,3,-0.094,0.98,0.55,0.05,0.85,0.19,0
6,348,0.53,0,0.33,0,3,0.095,0.29,0.09,5.98,0.82,0.08,0
9,569,0.19,0,0.49,5,4,0.061,0.14,0.27,1.3,0.22,0.07,0
13,275,0.73,0,0.46,1,0,0.229,0.35,0.29,3.89,0.84,0.09,1
10,149,0.17,0,0.51,3,0,0.184,0.02,0.73,0.51,0.43,0.19,0
1,475,0.21,0,0.43,1,1,0.297,0.5,0.92,4.89,0.46,0.0,0
15,534,0.22,0,0.48,5,3,-0.004,0.14,0.42,3.12,0.43,0.0,0
9,65,0.14,0,0.44,0,4,-0.029,0.46,0.81,7.85,0.31,0.06,0
1,376,0.27,0,0.22,1,0,0.228,0.14,0.04,3.7,0.52,0.06,0
5,93,0.88,1,0.51,2,4,0.185,0.7,0.23,5.17,1.0,0.63,1
14,427,0.38,0,0.65,2,3,0.206,0.41,0.73,7.67,0.56,0.19,1
5,556,0.13,0,0.42,5,0,-0.086,0.33,0.15,6.2,0.4,0.08,1
15,308,0.25,0,0.63,5,2,0.075,0.52,0.88,1.94,0.51,0.11,1
9,450,0.09,1,0.63,1,4,0.119,0.99,1.0,7.13,0.22,0.44,1
13,238,0.41,1,0.55,5,2,0.062,0.14,0.05,2.67,0.7,0.95,1
8,348,0.38,0,0.52,3,1,-0.018,0.18,0.82,4.75,0.49,0.18,1
11,321,0.74,0,0.49,4,0,0.256,0.1,0.08,0.8,0.94,0.02,1
6,307,0.72,0,0.49,3,0,0.175,0.18,0.63,3.25,0.85,0.18,0
5,90,0.7,0,0.36,0,5,-0.046,0.44,0.31,6.35,1.0,0.17,1
7,56,0.12,1,0.46,1,5,0.272,0.91,0.35,6.38,0.15,0.71,0
6,37,0.47,0,0.52,3,0,0.206,0.7,0.84,3.71,0.48,0.19,0
6,33,0.92,0,0.5,0,0,-0.096,0.39,0.96,4.98,1.0,0.0,0
1,289,0.38,0,0.51,0,1,-0.082,0.61,0.97,2.27,0.66,0.06,1
4,349,0.89,0,0.46,1,4,0.044,0.76,0.24,2.99,1.0,0.03,1
1,422,0.97,1,0.62,0,0,0.059,0.43,0.91,6.59,1.0,0.68,1
1,252,1.0,0,0.39,0,0,0.165,0.57,0.29,4.65,1.0,0.0,0
13,165,0.37,1,0.48,1,5,0.039,0.01,0.49,7.88,0.37,0.39,1
8,555,0.29,0,0.54,5,1,0.165,0.57,0.78,1.75,0.46,0.07,1
13,37,0.59,0,0.48,3,5,-0.081,0.24,0.64,7.67,0.78,0.1,1
15,124,0.13,0,0.55,1,1,0.147,0.01,0.9,2.68,0.25,0.15,0
9,466,0.36,0,0.58,1,0,-0.032,0.74,0.77,2.49,0.53,0.05,0
13,188,0.81,0,0.41,1,3,0.048,0.52,0.08,3.7,1.0,0.14,0
2,98,0.81,0,0.33,0,2,0.201,0.01,0.19,5.6,1.0,0.13,0
2,366,0.91,0,0.32,0,2,0.129,0.49,0.0,2.93,1.0,0.02,0
9,385,0.37,0,0.55,5,4,0.252,0.57,0.46,7.78,0.54,0.14,0
12,56,0.76,0,0.48,1,3,0.114,0.81,0.6,1.73,0.99,0.12,0
8,181,0.81,0,0.41,2,0,0.163,1.0,0.14,5.78,0.89,0.0,0
5,554,0.17,0,0.39,1,1,0.165,0.16,0.25,2.22,0.45,0.13,0
14,542,0.76,1,0.44,2,4,0.141,0.2,0.01,1.01,0.78,0.31,1
1,288,0.94,0,0.44,0,0,-0.048,0.44,0.36,7.44,1.0,0.05,1
13,138,0.53,0,0.47,0,3,0.001,0.2,0.68,6.6,0.66,0.16,0
8,475,0.39,0,0.39,0,4,0.115,0.13,0.07,0.18,0.66,0.02,0
12,80,0.5,1,0.58,4,0,0.244,0.16,0.75,4.25,0.61,0.48,0
14,287,0.11,0,0.42,1,1,0.127,0.8,0.2,0.95,0.23,0.1,0
6,432,0.85,0,0.57,3,0,0.053,0.7,0.93,0.67,1.0,0.07,0
13,265,0.34,0,0.5,3,3,0.292,0.68,0.6,1.51,0.35,0.08,0
7,176,0.48,0,0.4,1,3,-0.046,0.88,0.12,2.36,0.52,0.04,0
14,356,0.94,0,0.62,2,2,0.169,0.1,0.51,4.11,1.0,0.15,0
11,105,0.75,1,0.6,1,5,-0.004,0.31,0.82,0.68,1.0,0.78,1
6,250,0.89,0,0.44,2,3,0.29,0.19,0.37,0.46,1.0,0.04,1
14,40,0.82,0,0.57,0,5,0.234,0.85,0.53,3.25,0.89,0.05,0
7,582,0.69,0,0.63,3,3,0.135,0.89,0.8,2.15,0.84,0.19,1
6,582,0.5,0,0.5,3,3,0.272,0.59,0.5,7.7,0.76,0.04,1
6,297,0.4,0,0.48,0,4,0.033,0.84,0.62,7.52,0.56,0.16,0
3,335,0.8,0,0.42,3,3,0.021,0.45,0.11,7.38,0.91,0.17,0
13,126,0.3,1,0.65,2,0,0.299,0.95,0.65,4.67,0.42,0.96,1
6,321,0.25,0,0.51,3,4,0.065,0.66,0.46,0.83,0.49,0.01,0
8,548,0.83,0,0.48,1,0,-0.068,0.73,0.45,7.33,1.0,0.06,0
11,291,0.75,1,0.71,4,3,0.004,0.84,0.65,5.43,0.8,0.65,1
11,30,0.71,0,0.43,2,5,0.228,0.22,0.44,3.62,0.83,0.08,1
8,8,0.16,0,0.42,5,0,0.27,0.63,0.36,1.22,0.43,0.01,0
11,536,0.68,0,0.62,0,1,0.094,0.68,0.73,0.53,0.69,0.09,1
7,32,0.62,1,0.54,4,5,0.217,0.77,0.22,3.18,0.69,0.36,0
4,129,0.24,0,0.49,2,1,0.107,0.39,0.91,0.21,0.43,0.12,0
4,357,0.17,1,0.59,4,2,0.231,0.86,0.68,7.28,0.28,0.41,0
4,199,0.9,0,0.49,1,0,0.015,0.85,0.69,6.63,1.0,0.05,0
9,363,0.97,0,0.55,0,0,0.12,0.46,0.51,3.11,1.0,0.15,0
4,395,0.09,0,0.47,0,1,0.059,0.35,0.85,6.59,0.09,0.18,0
3,96,0.97,0,0.4,3,2,0.114,0.26,0.4,1.6,1.0,0.03,0
4,161,0.18,0,0.46,4,0,0.154,0.75,0.29,7.98,0.23,0.2,0
12,193,0.22,0,0.58,3,0,0.051,0.82,0.62,7.94,0.51,0.13,1
15,495,0.87,0,0.65,5,0,0.113,0.27,0.68,3.93,0.94,0.0,1
9,317,0.78,0,0.51,2,1,-0.095,0.66,0.22,3.08,0.98,0.01,0
4,589,0.84,1,0.71,2,3,-0.075,0.73,0.79,0.36,0.98,0.7,0
11,73,0.4,0,0.63,5,2,-0.071,0.57,0.92,2.74,0.53,0.0,1
12,389,0.61,0,0.43,2,3,0.119,0.36,0.18,3.82,0.67,0.0,0
11,20,0.12,0,0.36,3,0,-0.046,0.66,0.15,0.59,0.38,0.05,0
10,418,0.49,1,0.62,3,3,-0.085,0.95,0.47,0.59,0.66,0.93,0
13,194,0.18,0,0.5,5,0,0.084,0.34,0.58,4.24,0.38,0.13,0
11,217,0.94,1,0.6,5,5,0.024,0.12,0.09,6.16,1.0,0.43,1
13,597,0.66,0,0.39,0,1,-0.082,0.12,0.07,6.74,0.71,0.16,0
11,472,0.81,1,0.72,0,5,-0.08,0.14,0.97,3.71,0.9,0.68,1
5,591,0.48,0,0.48,2,0,0.068,0.2,0.89,3.41,0.62,0.17,0
6,327,0.71,1,0.63,0,4,0.196,0.98,0.57,4.93,0.85,0.36,1
6,145,0.59,1,0.47,2,1,-0.08,0.37,0.47,0.06,0.7,0.38,1
11,216,0.46,0,0.51,0,2,0.146,0.92,0.62,4.48,0.53,0.12,1
11,450,0.29,0,0.45,2,2,0.198,0.31,0.26,0.58,0.58,0.02,0
4,253,0.84,0,0.52,2,2,0.131,0.29,0.57,2.16,1.0,0.0,0
12,579,0.21,0,0.56,4,2,0.1,0.13,0.72,5.79,0.28,0.13,0
9,281,0.14,0,0.4,0,4,0.078,0.06,0.17,6.88,0.19,0.07,0
4,298,0.65,0,0.53,2,2,0.089,0.59,0.86,1.01,0.89,0.01,0
5,395,0.93,0,0.45,4,1,0.127,0.82,0.14,5.9,0.97,0.03,0
8,346,0.87,0,0.58,4,5,0.138,0.19,0.58,5.02,1.0,0.11,0
15,592,0.63,0,0.5,2,5,0.044,0.3,0.26,2.62,0.91,0.02,0
6,54,0.89,1,0.46,1,1,0.232,0.16,0.67,1.09,0.98,0.52,1
4,115,0.07,0,0.5,3,4,0.066,0.74,0.67,5.26,0.14,0.01,0
11,326,0.73,0,0.55,4,2,0.053,0.58,0.05,7.09,1.0,0.13,0
5,70,0.49,0,0.34,0,2,-0.017,0.32,0.16,4.29,0.55,0.03,0
5,437,0.42,0,0.44,2,5,0.249,0.92,0.16,1.61,0.47,0.12,1
3,343,0.43,1,0.41,1,1,0.251,0.23,0.22,2.03,0.73,0.35,0
7,472,0.4,0,0.49,3,3,-0.043,0.48,0.61,6.01,0.64,0.18,0
6,220,0.1,0,0.39,1,1,0.194,0.56,0.26,3.9,0.38,0.04,0
3,52,0.17,0,0.4,0,0,-0.064,0.72,0.96,5.3,0.26,0.01,0
15,428,0.92,1,0.83,4,3,0.192,0.96,0.83,3.81,1.0,0.65,1
10,192,0.93,0,0.63,2,5,0.117,0.54,0.92,1.23,0.95,0.13,0
2,189,0.2,0,0.47,2,2,0.037,0.39,0.53,5.7,0.38,0.15,0
11,197,0.48,0,0.54,0,1,-0.06,0.08,0.98,0.95,0.71,0.01,0
9,430,0.82,0,0.54,0,5,0.267,0.98,0.07,6.84,1.0,0.14,0
10,159,0.38,0,0.48,4,4,0.001,0.35,0.6,5.88,0.56,0.02,0
7,265,0.29,0,0.43,1,1,-0.091,0.86,0.15,0.9,0.46,0.14,0
15,396,0.86,1,0.77,1,5,0.194,0.69,0.82,1.62,0.92,0.51,0
5,519,0.85,0,0.52,4,4,0.269,0.01,0.46,6.44,1.0,0.12,0
6,78,0.63,0,0.44,1,5,0.079,0.26,0.7,1.45,0.89,0.13,0
12,329,0.44,0,0.55,3,3,0.09,0.79,0.16,2.87,0.52,0.08,0
2,150,0.82,0,0.48,2,1,0.129,0.93,0.15,2.29,0.86,0.18,0
4,48,0.19,0,0.43,4,3,-0.007,0.24,0.67,6.5,0.29,0.03,0
13,189,0.09,0,0.47,2,5,0.004,0.51,0.65,4.41,0.2,0.04,0
13,46,0.09,0,0.39,1,5,0.242,0.06,0.64,1.41,0.26,0.19,1
12,308,0.54,1,0.47,0,5,0.049,0.15,0.44,3.34,0.81,0.51,0
2,548,0.36,1,0.37,0,1,0.024,0.31,0.13,6.69,0.53,0.86,0
15,514,0.47,0,0.7,1,2,0.108,0.78,0.96,5.1,0.63,0.15,1
7,137,0.26,1,0.57,0,4,-0.044,0.93,0.81,1.43,0.46,0.31,1
3,264,0.56,0,0.59,0,2,0.193,0.94,0.92,4.55,0.8,0.02,0
14,421,0.61,0,0.57,4,2,0.13,0.53,0.65,4.11,0.79,0.15,1
7,437,0.44,0,0.47,5,1,0.182,0.06,0.35,1.57,0.66,0.07,1
2,8,0.36,0,0.32,0,1,-0.002,0.53,0.23,5.68,0.37,0.14,0
10,180,0.68,1,0.68,4,0,-0.076,0.4,0.7,1.31,0.85,0.95,1
9,216,0.89,0,0.57,3,5,0.216,0.96,0.21,3.87,1.0,0.1,0
9,417,0.22,1,0.54,1,3,0.121,0.97,0.11,7.79,0.36,0.76,1
4,161,0.14,0,0.48,4,1,0.04,0.19,0.74,5.83,0.3,0.1,0
12,25,0.44,0,0.52,3,3,-0.062,0.04,0.76,5.79,0.71,0.0,0
2,277,0.28,0,0.36,0,1,0.143,0.96,0.12,7.35,0.3,0.07,0
9,257,0.56,0,0.65,5,3,-0.029,0.68,0.99,6.58,0.65,0.08,0
7,551,0.42,1,0.6,2,4,0.232,0.14,0.45,2.46,0.47,0.7,1
4,284,0.69,0,0.47,0,3,0.195,0.89,0.58,4.86,0.88,0.13,0
7,316,0.11,0,0.48,4,3,0.094,0.56,0.55,4.76,0.24,0.14,0
10,589,0.32,0,0.62,4,1,0.221,0.8,0.85,0.9,0.4,0.06,0
6,216,0.43,1,0.51,4,0,0.299,0.29,0.58,0.22,0.6,0.31,0
9,408,0.88,0,0.46,1,0,0.234,0.99,0.16,1.12,0.98,0.08,0
1,23,0.85,1,0.35,1,1,0.108,0.77,0.0,7.02,0.9,0.43,1
8,317,0.68,0,0.64,1,4,0.138,0.47,0.83,5.95,0.84,0.07,1
3,462,0.8,0,0.57,0,0,-0.015,0.68,0.72,6.08,1.0,0.12,0
11,213,0.07,0,0.58,2,3,0.017,0.56,0.77,1.53,0.36,0.13,0
8,588,0.1,1,0.49,5,0,0.161,0.53,0.16,7.03,0.33,0.38,1
15,130,0.1,1,0.49,2,2,0.28,0.25,0.6,7.51,0.18,0.49,1
15,415,0.83,0,0.57,2,0,0.051,0.79,0.13,2.59,0.94,0.12,0
15,440,0.78,0,0.42,1,0,0.144,0.33,0.22,5.08,0.84,0.09,0
8,403,0.34,0,0.4,2,2,0.139,0.6,0.33,0.77,0.43,0.05,0
3,299,0.37,0,0.41,0,1,0.181,0.86,0.6,0.03,0.47,0.03,1
14,74,0.93,0,0.61,1,5,-0.043,0.97,0.49,3.4,1.0,0.13,0
9,333,0.73,0,0.43,2,1,-0.028,0.67,0.17,6.73,0.83,0.17,1
9,340,0.51,1,0.58,3,0,-0.078,0.92,0.53,5.09,0.69,0.72,1
5,487,0.27,0,0.54,1,2,0.209,0.3,0.87,5.85,0.38,0.02,0
6,599,0.34,0,0.59,4,3,-0.02,0.29,0.9,1.63,0.58,0.1,1
2,547,0.26,0,0.46,0,2,-0.02,0.83,0.52,4.81,0.28,0.19,0
15,184,0.82,0,0.39,2,1,0.092,0.48,0.01,6.62,0.99,0.06,0
8,318,0.44,0,0.49,1,2,0.192,0.48,0.81,4.09,0.69,0.11,0
8,197,0.33,0,0.5,3,0,0.194,0.44,0.38,1.3,0.59,0.19,1
14,410,0.18,1,0.71,2,3,0.152,0.43,0.97,2.73,0.36,0.7,1
2,54,0.56,0,0.33,1,0,0.131,0.53,0.23,7.45,0.73,0.03,0
7,539,0.33,0,0.55,5,2,0.056,0.74,0.51,4.13,0.42,0.12,0
3,579,0.92,0,0.6,3,2,0.154,0.57,0.75,1.01,1.0,0.02,1
2,456,0.76,0,0.5,2,2,0.164,0.66,0.63,0.59,0.9,0.11,0
14,467,0.9,0,0.57,2,4,0.112,0.92,0.26,2.63,1.0,0.16,0
14,168,0.55,0,0.62,4,0,-0.067,0.73,0.64,1.68,0.67,0.15,1
2,596,0.28,0,0.47,1,2,-0.068,0.95,0.34,0.09,0.58,0.16,0
14,591,0.65,1,0.51,0,3,0.087,0.05,0.32,4.48,0.7,0.71,0
2,325,0.76,1,0.54,0,2,0.086,0.75,0.77,5.35,0.92,0.77,0
2,594,0.28,0,0.46,0,0,0.283,0.53,0.85,7.88,0.46,0.13,1
12,441,0.09,0,0.67,4,2,0.231,0.8,0.86,5.74,0.11,0.07,1
12,477,0.25,0,0.5,2,5,0.218,0.53,0.21,6.06,0.27,0.02,0
10,415,0.59,0,0.52,1,4,-0.076,0.01,0.33,2.57,0.65,0.07,0
4,93,0.67,1,0.44,3,1,0.134,0.57,0.36,6.32,0.93,0.57,0
10,48,0.68,0,0.46,1,3,0.094,0.46,0.86,4.36,0.93,0.08,0
5,186,0.55,0,0.47,2,2,-0.073,0.7,0.41,0.28,0.66,0.2,0
11,214,0.37,0,0.62,5,2,0.064,0.27,0.98,7.71,0.63,0.13,1
4,13,0.3,0,0.41,1,3,-0.046,0.86,0.87,2.11,0.45,0.05,0
4,329,0.8,0,0.53,4,3,0.13,0.04,0.5,2.08,1.0,0.13,1
3,182,0.53,0,0.58,2,3,0.206,0.87,0.75,2.8,0.76,0.17,0
15,469,0.18,0,0.63,3,2,0.255,0.02,0.97,6.45,0.33,0.16,0
14,282,0.79,0,0.51,0,1,0.022,0.21,0.5,4.18,1.0,0.1,0
12,372,0.96,0,0.58,1,1,0.062,0.76,0.45,6.64,1.0,0.14,0
2,362,0.23,0,0.25,1,0,-0.025,0.13,0.13,2.12,0.48,0.18,0
14,243,0.9,1,0.59,5,5,0.042,0.46,0.01,6.06,1.0,0.34,0
14,283,0.14,0,0.47,2,2,0.299,0.24,0.55,0.6,0.2,0.14,0
15,152,0.19,0,0.45,3,0,0.135,0.74,0.47,5.96,0.27,0.08,0
8,310,0.8,1,0.62,0,2,0.233,0.69,0.67,1.38,0.86,0.67,1
5,396,0.55,0,0.51,3,1,-0.08,0.01,0.55,3.59,0.58,0.01,0
1,348,0.79,1,0.46,1,0,-0.072,0.36,0.41,4.35,0.86,0.54,1
1,103,0.52,0,0.29,0,0,0.219,0.22,0.46,1.52,0.56,0.09,1
9,394,0.59,1,0.56,3,0,0.162,0.5,0.19,0.2,0.81,0.91,1
7,119,1.0,1,0.52,1,4,0.223,0.96,0.47,0.05,1.0,0.47,0
14,235,0.77,1,0.53,1,1,0.044,0.09,0.4,1.15,0.86,0.94,1
12,22,0.6,0,0.35,3,3,0.253,0.38,0.02,5.4,0.69,0.13,0
3,486,0.44,0,0.41,2,0,0.288,0.68,0.27,2.76,0.64,0.12,0
3,113,0.15,0,0.48,2,0,-0.032,0.43,0.88,7.95,0.35,0.15,0
5,495,0.58,0,0.49,4,5,0.069,0.21,0.38,0.47,0.82,0.11,0
9,241,0.47,0,0.34,0,4,-0.056,0.03,0.29,6.77,0.67,0.09,0
12,546,0.94,0,0.49,1,3,0.143,0.73,0.13,1.58,1.0,0.06,0
8,45,0.53,0,0.35,4,4,0.064,0.27,0.19,5.72,0.57,0.01,0
8,156,0.87,1,0.49,2,0,0.251,0.76,0.0,0.16,0.98,0.56,0
7,469,0.28,0,0.53,0,0,0.106,0.57,0.78,7.99,0.31,0.02,1
14,99,0.42,0,0.54,5,1,0.228,0.14,0.49,7.47,0.65,0.13,0
8,50,0.42,0,0.56,5,2,0.02,0.99,0.95,7.54,0.58,0.1,1
1,28,0.93,0,0.28,1,0,-0.0,0.12,0.1,6.68,1.0,0.19,0
2,573,0.66,0,0.58,1,2,-0.043,0.57,0.8,1.2,0.87,0.13,0
2,376,0.24,0,0.43,1,1,0.064,0.45,0.38,4.6,0.47,0.06,0
7,447,0.47,0,0.52,0,0,0.12,0.27,0.64,0.13,0.68,0.15,0
3,146,0.67,0,0.41,2,0,-0.04,0.89,0.14,4.25,0.82,0.1,0
8,237,0.8,1,0.49,1,3,0.025,0.95,0.22,7.97,0.91,0.51,1
13,578,0.95,0,0.61,2,0,0.12,0.69,0.94,5.03,1.0,0.07,0
15,412,0.16,0,0.51,3,4,-0.031,0.06,0.43,0.19,0.17,0.11,0
1,96,0.74,0,0.35,0,0,0.293,0.13,0.74,7.4,0.96,0.07,0
5,550,0.73,0,0.67,5,3,0.074,0.33,0.96,6.18,0.73,0.06,0
5,186,0.9,0,0.49,3,1,0.241,0.3,0.83,0.2,1.0,0.07,0
12,214,0.97,0,0.58,1,2,-0.006,0.56,0.42,3.93,1.0,0.03,0
12,134,0.83,0,0.5,1,3,0.081,0.0,0.39,3.35,1.0,0.19,0
14,138,0.31,0,0.52,4,3,0.254,0.41,0.55,4.09,0.33,0.06,1
3,597,0.11,0,0.56,0,0,0.065,0.93,0.81,2.43,0.17,0.2,1
6,283,0.82,0,0.57,2,5,0.068,0.74,0.38,1.22,0.91,0.02,0
5,369,0.21,1,0.44,1,0,0.288,0.66,0.28,2.26,0.29,0.37,0
4,564,0.57,0,0.47,3,1,-0.099,0.67,0.23,1.8,0.73,0.16,0
13,188,0.74,0,0.7,2,4,0.221,0.54,0.99,3.24,0.9,0.17,0
3,98,0.2,1,0.43,2,1,0.163,0.28,0.8,1.49,0.46,0.8,1
9,439,0.05,0,0.62,3,1,-0.06,0.73,0.87,3.08,0.33,0.03,1
10,462,0.57,0,0.45,4,0,-0.068,0.81,0.03,0.11,0.75,0.16,0
8,106,0.61,0,0.53,5,4,0.066,0.78,0.1,5.04,0.75,0.15,0
10,57,0.74,0,0.51,4,5,0.014,0.98,0.47,4.19,0.82,0.13,0
6,233,0.37,0,0.39,0,0,0.089,0.17,0.53,6.94,0.42,0.15,0
10,62,0.73,0,0.43,3,0,0.071,0.55,0.51,6.23,0.87,0.03,0
13,398,0.29,0,0.5,0,4,-0.021,0.34,0.23,3.58,0.44,0.17,1
13,298,0.57,0,0.69,5,4,0.047,0.35,0.87,4.0,0.77,0.13,0
13,143,0.25,0,0.43,1,1,0.288,0.12,0.59,6.31,0.37,0.13,0
8,270,0.43,0,0.55,3,3,0.173,0.36,0.44,5.52,0.57,0.17,0
12,150,0.13,0,0.38,0,3,0.258,0.82,0.39,0.04,0.15,0.04,0
14,540,0.78,0,0.62,1,2,0.239,0.7,0.69,4.96,1.0,0.03,1
2,230,0.07,0,0.29,0,2,0.07,0.81,0.07,0.12,0.16,0.03,0
8,378,0.78,0,0.54,3,5,0.016,0.71,0.25,5.34,0.99,0.05,1
6,22,0.83,0,0.36,2,3,0.068,0.77,0.16,4.04,1.0,0.17,0
9,350,0.35,0,0.39,0,1,0.118,0.08,0.45,3.94,0.58,0.05,0
9,105,0.37,0,0.49,3,5,-0.082,0.67,0.6,1.29,0.45,0.0,0
13,383,0.78,0,0.57,3,3,-0.043,0.36,0.44,0.22,0.91,0.17,0
13,274,0.77,0,0.59,5,1,0.092,0.72,0.22,3.89,0.91,0.11,0
5,79,0.85,1,0.43,2,5,0.084,0.18,0.05,4.5,1.0,0.84,1
3,466,0.23,0,0.35,2,0,0.079,0.43,0.14,3.56,0.38,0.04,0
14,216,0.95,0,0.64,4,3,0.09,0.69,0.36,1.0,1.0,0.14,0
7,35,0.81,0,0.35,4,3,0.137,0.23,0.06,2.68,0.97,0.05,1
9,153,0.5,0,0.58,5,0,0.283,0.33,0.85,3.43,0.67,0.06,0
7,466,0.1,0,0.38,4,3,0.1,0.34,0.25,3.49,0.24,0.14,0
9,270,0.19,0,0.49,1,3,0.2,0.13,0.73,1.44,0.24,0.04,0
2,81,0.84,0,0.44,2,1,0.07,0.12,0.49,3.38,1.0,0.03,0
5,279,0.85,0,0.46,4,1,-0.087,0.18,0.1,3.4,0.97,0.04,0
1,189,0.76,0,0.37,0,0,0.299,0.89,0.18,3.18,1.0,0.01,0
8,480,0.89,0,0.5,1,0,0.06,0.19,0.89,0.31,1.0,0.0,0
4,194,0.44,0,0.34,2,2,0.051,0.22,0.11,6.47,0.58,0.06,0
15,573,0.06,0,0.56,4,0,0.197,0.76,0.33,0.49,0.13,0.15,0
2,229,0.75,0,0.39,1,2,-0.037,0.76,0.18,6.89,0.82,0.02,0
1,310,0.98,0,0.4,1,0,-0.05,0.43,0.42,3.16,1.0,0.09,0
6,215,0.61,0,0.49,5,5,0.135,0.02,0.72,4.05,0.69,0.06,0
6,427,0.85,0,0.41,0,4,-0.096,0.71,0.1,7.68,0.86,0.01,1
6,311,0.89,0,0.38,0,2,0.004,0.57,0.03,1.8,0.96,0.19,0
3,255,0.39,0,0.44,2,2,0.038,0.97,0.11,7.08,0.4,0.06,0
1,236,0.86,0,0.37,1,0,0.15,0.76,0.25,7.0,1.0,0.08,0
1,555,0.08,0,0.4,0,0,-0.049,0.97,0.27,2.16,0.25,0.01,0
7,325,0.91,0,0.45,4,1,0.281,0.12,0.24,3.97,1.0,0.1,0
3,72,0.91,0,0.41,2,0,0.127,0.9,0.34,7.89,1.0,0.03,1
4,107,0.51,0,0.41,3,1,0.278,0.85,0.27,2.55,0.58,0.13,0
15,150,0.72,0,0.47,3,0,0.079,0.77,0.03,4.57,0.99,0.15,0
14,145,0.31,0,0.62,5,0,-0.075,0.69,0.86,2.84,0.37,0.05,1
10,112,0.33,0,0.41,0,4,0.241,0.49,0.59,5.1,0.53,0.12,0
5,139,0.2,0,0.51,4,1,0.183,0.25,0.8,2.57,0.23,0.12,0
5,560,0.51,0,0.65,3,5,0.053,0.57,0.96,7.05,0.52,0.12,0
6,63,0.21,0,0.35,4,5,0.016,0.43,0.06,4.16,0.35,0.16,0
4,559,0.21,1,0.45,3,3,-0.046,0.79,0.02,4.06,0.44,0.39,1
5,226,0.87,1,0.55,2,5,0.049,0.79,0.39,4.44,1.0,0.91,1
